m.label,n.label,omop_concept_id,complementary
Primary Malignant Neoplasm Disorder Value Set,Merkel cell carcinoma of anal skin,45556991,
Primary Malignant Neoplasm Disorder Value Set,Merkel cell carcinoma of skin of breast,45561809,
Primary Malignant Neoplasm Disorder Value Set,Merkel cell carcinoma of other part of trunk,45605275,
Primary Malignant Neoplasm Disorder Value Set,"Merkel cell carcinoma of unspecified upper limb, including shoulder",45576322,
Primary Malignant Neoplasm Disorder Value Set,"Merkel cell carcinoma of right upper limb, including shoulder",45561810,
Primary Malignant Neoplasm Disorder Value Set,"Merkel cell carcinoma of left upper limb, including shoulder",45566597,
Primary Malignant Neoplasm Disorder Value Set,"Merkel cell carcinoma of unspecified lower limb, including hip",45600505,
Primary Malignant Neoplasm Disorder Value Set,"Merkel cell carcinoma of right lower limb, including hip",45556992,
Primary Malignant Neoplasm Disorder Value Set,"Merkel cell carcinoma of left lower limb, including hip",45600506,
Primary Malignant Neoplasm Disorder Value Set,Merkel cell carcinoma of overlapping sites,45556993,
Primary Malignant Neoplasm Disorder Value Set,"Merkel cell carcinoma, unspecified",45595665,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of nipple and areola, right female breast",45566599,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of nipple and areola, left female breast",45571519,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of nipple and areola, unspecified female breast",45595666,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of nipple and areola, right male breast",45566600,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of nipple and areola, left male breast",45576323,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of nipple and areola, unspecified male breast",45542613,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of central portion of right female breast,45532911,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of central portion of left female breast,45537820,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of central portion of unspecified female breast,45556994,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of central portion of right male breast,45532912,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of central portion of left male breast,45586010,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of central portion of unspecified male breast,45571520,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper-inner quadrant of right female breast,45561812,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper-inner quadrant of left female breast,45561813,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper-inner quadrant of unspecified female breast,45586011,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper-inner quadrant of right male breast,45547503,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper-inner quadrant of left male breast,45595667,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper-inner quadrant of unspecified male breast,45561814,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower-inner quadrant of right female breast,45561815,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower-inner quadrant of left female breast,45576325,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower-inner quadrant of unspecified female breast,45566602,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower-inner quadrant of right male breast,45571521,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower-inner quadrant of left male breast,45586012,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower-inner quadrant of unspecified male breast,45590907,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper-outer quadrant of right female breast,45537821,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper-outer quadrant of left female breast,45561817,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper-outer quadrant of unspecified female breast,45600507,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper-outer quadrant of right male breast,45561818,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper-outer quadrant of left male breast,45600508,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of upper-outer quadrant of unspecified male breast,45590908,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower-outer quadrant of right female breast,45590909,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower-outer quadrant of left female breast,45605276,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower-outer quadrant of unspecified female breast,45547504,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower-outer quadrant of right male breast,45605277,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower-outer quadrant of left male breast,45571522,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lower-outer quadrant of unspecified male breast,45537822,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of axillary tail of right female breast,45586013,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of axillary tail of left female breast,45581222,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of axillary tail of unspecified female breast,45556995,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of axillary tail of right male breast,45600510,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of axillary tail of left male breast,45576326,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of axillary tail of unspecified male breast,45537823,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of right female breast,45576327,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of left female breast,45561819,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of unspecified female breast,45552262,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of right male breast,45595668,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of left male breast,45566603,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of unspecified male breast,45537824,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified site of right female breast,45586014,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified site of left female breast,45556996,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified site of unspecified female breast,45600511,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified site of right male breast,45571523,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified site of left male breast,45561820,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified site of unspecified male breast,45590910,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of labium majus,35206237,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of labium minus,35206238,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of other specified female genital organs,35206257,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of vulva, unspecified",35206241,
Primary Malignant Neoplasm Disorder Value Set,MALIGNANT NEOPLASM OF VAGINA,45420000,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of cervix uteri,35206245,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of cervix uteri, unspecified",35206246,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of isthmus uteri,35206247,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of endometrium,35206248,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of myometrium,35206249,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of fundus uteri,35206250,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of corpus uteri,35206251,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of corpus uteri, unspecified",35206252,
Primary Malignant Neoplasm Disorder Value Set,"MALIGNANT NEOPLASM OF UTERUS, PART UNSPECIFIED",3531966,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right ovary,45571525,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left ovary,45532915,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified ovary,45542615,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified fallopian tube,45586017,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right fallopian tube,45566607,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left fallopian tube,45595672,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified broad ligament,45595673,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right broad ligament,45576330,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left broad ligament,45590911,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified round ligament,45532916,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right round ligament,45561821,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left round ligament,45605279,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of uterine adnexa, unspecified",35206256,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of vulva,35206240,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of female genital organs,35206258,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of female genital organ, unspecified",35206259,
Primary Malignant Neoplasm Disorder Value Set,MALIGNANT NEOPLASM OF PLACENTA,40391629,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of prepuce,35206261,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of glans penis,35206262,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of body of penis,35206263,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of penis,35206264,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of penis, unspecified",35206265,
Primary Malignant Neoplasm Disorder Value Set,MALIGNANT NEOPLASM OF PROSTATE,45523050,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified undescended testis,45600515,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of undescended right testis,45586018,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of undescended left testis,45557001,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified descended testis,45557002,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of descended right testis,45590913,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of descended left testis,45590914,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",45532919,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of right testis, unspecified whether descended or undescended",45557003,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of left testis, unspecified whether descended or undescended",45532920,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified epididymis,45532921,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right epididymis,45547510,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left epididymis,45547511,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified spermatic cord,45547513,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right spermatic cord,45561822,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left spermatic cord,45552267,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of scrotum,35206267,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of other specified male genital organs,35206268,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of male genital organs,35206269,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of male genital organ, unspecified",35206270,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of right kidney, except renal pelvis",45600517,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of left kidney, except renal pelvis",45586019,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of unspecified kidney, except renal pelvis",45581223,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right renal pelvis,45537828,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left renal pelvis,45547514,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified renal pelvis,45581224,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right ureter,45532923,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left ureter,45576334,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified ureter,45581225,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of trigone of bladder,35206274,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of dome of bladder,35206275,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of lateral wall of bladder,35206276,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of anterior wall of bladder,35206277,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of posterior wall of bladder,35206278,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of bladder neck,35206279,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of ureteric orifice,35206280,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of urachus,35206281,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of bladder,35206282,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of bladder, unspecified",35206283,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of urethra,35206284,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of paraurethral glands,35206285,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of urinary organ, unspecified",35206287,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified conjunctiva,45595677,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right conjunctiva,45532926,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left conjunctiva,45542617,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified cornea,45595678,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right cornea,45537832,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left cornea,45561823,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified retina,45571530,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right retina,45552273,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left retina,45595679,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified choroid,45590916,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right choroid,45532927,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left choroid,45586021,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified ciliary body,45595680,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right ciliary body,45561824,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left ciliary body,45605284,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified lacrimal gland and duct,45547515,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right lacrimal gland and duct,45561825,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left lacrimal gland and duct,45532928,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified orbit,45542619,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right orbit,45590917,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left orbit,45552274,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of unspecified eye and adnexa,45571531,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of right eye and adnexa,45561826,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of left eye and adnexa,45605285,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified site of unspecified eye,45537833,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified site of right eye,45537834,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified site of left eye,45595681,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of meninges, unspecified",35206290,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of cerebrum, except lobes and ventricles",35206291,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of cerebral ventricle,35206296,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of brain stem,35206298,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of brain,35206299,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of brain, unspecified",35206300,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of spinal cord,35206301,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified olfactory nerve,45595684,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right olfactory nerve,45542622,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left olfactory nerve,45547517,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified optic nerve,45586022,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right optic nerve,45552276,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left optic nerve,45557009,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified acoustic nerve,45605286,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right acoustic nerve,45586023,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left acoustic nerve,45557010,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified cranial nerve,45566614,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of other cranial nerves,45547518,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of central nervous system, unspecified",35206303,
Primary Malignant Neoplasm Disorder Value Set,MALIGNANT NEOPLASM OF THYROID GLAND,45483207,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of cortex of unspecified adrenal gland,45600522,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of cortex of right adrenal gland,45586026,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of cortex of left adrenal gland,45532932,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of medulla of unspecified adrenal gland,45542623,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of medulla of right adrenal gland,45566615,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of medulla of left adrenal gland,45552278,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified part of unspecified adrenal gland,45576336,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified part of right adrenal gland,45600523,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified part of left adrenal gland,45566616,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of parathyroid gland,35206305,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of pituitary gland,35206306,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of craniopharyngeal duct,35206307,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of pineal gland,35206308,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of aortic body and other paraganglia,35206310,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm with pluriglanduar involvement, unspecified",35206311,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of endocrine gland, unspecified",35206312,
Primary Malignant Neoplasm Disorder Value Set,"Malignant neoplasm of head, face and neck",35206313,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm pelvis,45479930,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified upper limb,45557011,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right upper limb,45547521,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left upper limb,45600524,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of unspecified lower limb,45600525,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of right lower limb,45571536,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of left lower limb,45571537,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm of overlapping sites of other and ill-defined sites,40385465,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of unspecified site,45600530,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the duodenum,45547525,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the jejunum,45590927,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the ileum,45552287,
Primary Malignant Neoplasm Disorder Value Set,"Malignant carcinoid tumor of the small intestine, unspecified portion",45605290,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the appendix,45600531,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the cecum,45561835,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the ascending colon,45547526,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the transverse colon,45605291,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the descending colon,45600532,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the sigmoid colon,45595690,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the rectum,45586029,
Primary Malignant Neoplasm Disorder Value Set,"Malignant carcinoid tumor of the large intestine, unspecified portion",45566618,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the bronchus and lung,45547527,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of thymus,37111618,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the stomach,45600533,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumor of the kidney,45552288,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumors of the foregut NOS,44828762,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumors of the midgut NOS,44829854,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumors of the hindgut NOS,44835721,
Primary Malignant Neoplasm Disorder Value Set,Malignant carcinoid tumors of other sites,1567612,
Primary Malignant Neoplasm Disorder Value Set,Malignant poorly differentiated neuroendocrine tumors,45537844,
Primary Malignant Neoplasm Disorder Value Set,Other malignant neuroendocrine tumors,45542631,
Primary Malignant Neoplasm Disorder Value Set,"Disseminated malignant neoplasm, unspecified",35206334,
Primary Malignant Neoplasm Disorder Value Set,"Malignant (primary) neoplasm, unspecified",45561836,
Primary Malignant Neoplasm Disorder Value Set,Malignant neoplasm associated with transplanted organ,45557018,
Primary Malignant Neoplasm Disorder Value Set,"Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site",45581228,
Primary Malignant Neoplasm Disorder Value Set,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck",45557019,
Primary Malignant Neoplasm Disorder Value Set,"Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes",45552290,
Primary Malignant Neoplasm Disorder Value Set,"Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes",45561837,
Primary Malignant Neoplasm Disorder Value Set,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb",45566621,
Primary Malignant Neoplasm Disorder Value Set,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45590928,
Primary Malignant Neoplasm Disorder Value Set,"Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes",45561838,
Primary Malignant Neoplasm Disorder Value Set,"Nodular lymphocyte predominant Hodgkin lymphoma, spleen",45600535,
Primary Malignant Neoplasm Disorder Value Set,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites",45595694,
Primary Malignant Neoplasm Disorder Value Set,"Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites",45542634,
Primary Malignant Neoplasm Disorder Value Set,"Nodular sclerosis classical Hodgkin lymphoma, unspecified site",4038842,
Primary Malignant Neoplasm Disorder Value Set,"Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of head, face, and neck",,
Primary Malignant Neoplasm Disorder Value Set,"Nodular sclerosis classical Hodgkin lymphoma, intrathoracic lymph nodes",,
Primary Malignant Neoplasm Disorder Value Set,"Nodular sclerosis classical Hodgkin lymphoma, intra-abdominal lymph nodes",,
Primary Malignant Neoplasm Disorder Value Set,"Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of axilla and upper limb",,
Primary Malignant Neoplasm Disorder Value Set,"Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",,
Primary Malignant Neoplasm Disorder Value Set,"Nodular sclerosis classical Hodgkin lymphoma, intrapelvic lymph nodes",,
Primary Malignant Neoplasm Disorder Value Set,"Nodular sclerosis classical Hodgkin lymphoma, spleen",,
Primary Malignant Neoplasm Disorder Value Set,"Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of multiple sites",,
Primary Malignant Neoplasm Disorder Value Set,"Nodular sclerosis classical Hodgkin lymphoma, extranodal and solid organ sites",,
Primary Malignant Neoplasm Disorder Value Set,"Mixed cellularity classical Hodgkin lymphoma, unspecified site",,
Primary Malignant Neoplasm Disorder Value Set,"Mixed cellularity classical Hodgkin lymphoma, lymph nodes of head, face, and neck",,
Primary Malignant Neoplasm Disorder Value Set,"Mixed cellularity classical Hodgkin lymphoma, intrathoracic lymph nodes",,
Primary Malignant Neoplasm Disorder Value Set,"Mixed cellularity classical Hodgkin lymphoma, intra-abdominal lymph nodes",,
Primary Malignant Neoplasm Disorder Value Set,"Mixed cellularity classical Hodgkin lymphoma, lymph nodes of axilla and upper limb",,
Primary Malignant Neoplasm Disorder Value Set,"Mixed cellularity classical Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",,
Primary Malignant Neoplasm Disorder Value Set,"Mixed cellularity classical Hodgkin lymphoma, intrapelvic lymph nodes",,
Primary Malignant Neoplasm Disorder Value Set,"Mixed cellularity classical Hodgkin lymphoma, spleen",,
Primary Malignant Neoplasm Disorder Value Set,"Mixed cellularity classical Hodgkin lymphoma, lymph nodes of multiple sites",,
Primary Malignant Neoplasm Disorder Value Set,"Mixed cellularity classical Hodgkin lymphoma, extranodal and solid organ sites",,
Primary Malignant Neoplasm Disorder Value Set,"Lymphocyte depleted classical Hodgkin lymphoma, unspecified site",,
Primary Malignant Neoplasm Disorder Value Set,"Lymphocyte depleted classical Hodgkin lymphoma, lymph nodes of head, face, and neck",,
Primary Malignant Neoplasm Disorder Value Set,"Lymphocyte depleted classical Hodgkin lymphoma, intrathoracic lymph nodes",,
Primary Malignant Neoplasm Disorder Value Set,"Lymphocyte depleted classical Hodgkin lymphoma, intra-abdominal lymph nodes",,
Primary Malignant Neoplasm Disorder Value Set,"Lymphocyte depleted classical Hodgkin lymphoma, lymph nodes of axilla and upper limb",,
Primary Malignant Neoplasm Disorder Value Set,"Lymphocyte depleted classical Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",,
Primary Malignant Neoplasm Disorder Value Set,"Lymphocyte depleted classical Hodgkin lymphoma, intrapelvic lymph nodes",,
Primary Malignant Neoplasm Disorder Value Set,"Lymphocyte depleted classical Hodgkin lymphoma, spleen",,
Primary Malignant Neoplasm Disorder Value Set,"Lymphocyte depleted classical Hodgkin lymphoma, lymph nodes of multiple sites",,
Primary Malignant Neoplasm Disorder Value Set,"Lymphocyte depleted classical Hodgkin lymphoma, extranodal and solid organ sites",,
